iterazione,loss
50,0.1611
100,0.1118
150,0.0693
200,0.0562
250,0.0491
300,0.0363
350,0.0377
400,0.0347
450,0.0289
500,0.0253
550,0.0247
600,0.0220
650,0.0200
700,0.0183
750,0.0176
800,0.0179
850,0.0198
900,0.0207
950,0.0190
1000,0.0157
1050,0.0150
1100,0.0148
1150,0.0176
1200,0.0150
1250,0.0154
1300,0.0130
1350,0.0142
1400,0.0137
1450,0.0157
1500,0.0191
1550,0.0154
1600,0.0136
1650,0.0126
1700,0.0118
1750,0.0125
1800,0.0126
1850,0.0099
1900,0.0110
1950,0.0136
2000,0.0082
2050,0.0087
2100,0.0124
2150,0.0093
2200,0.0106
2250,0.0099
2300,0.0086
2350,0.0090
2400,0.0107
2450,0.0097
2500,0.0097
2550,0.0094
2600,0.0094
2650,0.0101
2700,0.0104
2750,0.0082
2800,0.0077
2850,0.0104
2900,0.0100
2950,0.0095
3000,0.0111
3050,0.0081
3100,0.0081
3150,0.0090
3200,0.0080
3250,0.0090
3300,0.0069
3350,0.0086
3400,0.0111
3450,0.0082
3500,0.0084
3550,0.0074
3600,0.0079
3650,0.0086
3700,0.0086
3750,0.0076
3800,0.0089
3850,0.0100
3900,0.0094
3950,0.0086
4050,0.0101
4100,0.0096
4150,0.0091
4200,0.0113
4250,0.0094
4300,0.0088
4350,0.0093
4400,0.0101
4450,0.0098
4500,0.0082
4550,0.0090
4600,0.0114
4650,0.0091
4700,0.0106
4750,0.0088
4800,0.0124
4850,0.0110
4900,0.0105
4950,0.0090
5000,0.0099
5050,0.0116
5100,0.0103
5150,0.0083
5200,0.0112
5250,0.0081
5300,0.0088
5350,0.0094
5400,0.0085
5450,0.0089
5500,0.0081
5550,0.0103
5600,0.0111
5650,0.0111
5700,0.0110
5750,0.0077
5800,0.0101
5850,0.0110
5900,0.0105
5950,0.0088
6000,0.0100
6050,0.0111
6100,0.0090
6150,0.0152
6200,0.0097
6250,0.0094
6300,0.0076
6350,0.0096
6400,0.0099
6450,0.0102
6500,0.0088
6550,0.0104
6600,0.0099
6650,0.0131
6700,0.0091
6750,0.0106
6800,0.0077
6850,0.0103
6900,0.0099
6950,0.0099
7000,0.0078
7050,0.0106
7100,0.0105
7150,0.0088
7200,0.0097
7250,0.0104
7300,0.0083
7350,0.0108
7400,0.0102
7450,0.0095
7500,0.0136
7550,0.0103
7600,0.0109
7650,0.0122
7700,0.0109
7750,0.0094
7800,0.0081
7850,0.0094
7900,0.0087
7950,0.0104
8050,0.0103
8100,0.0082
8150,0.0124
8200,0.0099
8250,0.0080
8300,0.0084
8350,0.0123
8400,0.0097
8450,0.0113
8500,0.0100
8550,0.0100
8600,0.0104
8650,0.0088
8700,0.0080
8750,0.0091
8800,0.0080
8850,0.0082
8900,0.0068
8950,0.0067
9000,0.0070
9050,0.0096
9100,0.0118
9150,0.0108
9200,0.0100
9250,0.0116
9300,0.0136
9350,0.0088
9400,0.0094
9450,0.0113
9500,0.0085
9550,0.0078
9600,0.0119
9650,0.0096
9700,0.0080
9750,0.0103
9800,0.0093
9850,0.0099
9900,0.0106
9950,0.0094
10000,0.0082
10050,0.0089
10100,0.0079
10150,0.0098
10200,0.0070
10250,0.0100
10300,0.0101
10350,0.0074
10400,0.0074
10450,0.0090
10500,0.0081
10550,0.0088
10600,0.0089
10650,0.0085
10700,0.0110
10750,0.0122
10800,0.0078
10850,0.0078
10900,0.0090
10950,0.0072
11000,0.0080
11050,0.0088
11100,0.0111
11150,0.0092
11200,0.0070
11250,0.0108
11300,0.0078
11350,0.0065
11400,0.0070
11450,0.0079
11500,0.0083
11550,0.0074
11600,0.0067
11650,0.0086
11700,0.0095
11750,0.0124
11800,0.0071
11850,0.0073
11900,0.0072
11950,0.0077
12050,0.0091
12100,0.0077
12150,0.0077
12200,0.0075
12250,0.0091
12300,0.0080
12350,0.0074
12400,0.0077
12450,0.0070
12500,0.0062
12550,0.0084
12600,0.0081
12650,0.0100
12700,0.0114
12750,0.0093
12800,0.0098
12850,0.0066
12900,0.0074
12950,0.0074
13000,0.0089
13050,0.0087
13100,0.0117
13150,0.0101
13200,0.0081
13250,0.0089
13300,0.0069
13350,0.0073
13400,0.0067
13450,0.0101
13500,0.0089
13550,0.0070
13600,0.0081
13650,0.0085
13700,0.0090
13750,0.0102
13800,0.0108
13850,0.0101
13900,0.0073
13950,0.0096
14000,0.0111
14050,0.0115
14100,0.0086
14150,0.0128
14200,0.0107
14250,0.0086
14300,0.0081
14350,0.0085
14400,0.0099
14450,0.0091
14500,0.0113
14550,0.0103
14600,0.0109
14650,0.0122
14700,0.0120
14750,0.0101
14800,0.0103
14850,0.0099
14900,0.0121
14950,0.0125
15000,0.0090
15050,0.0101
15100,0.0117
15150,0.0097
15200,0.0087
15250,0.0093
15300,0.0102
15350,0.0092
15400,0.0092
15450,0.0095
15500,0.0091
15550,0.0103
15600,0.0094
15650,0.0110
15700,0.0096
15750,0.0100
15800,0.0169
15850,0.0086
15900,0.0110
15950,0.0126
16050,0.0112
16100,0.0120
16150,0.0101
16200,0.0102
16250,0.0092
16300,0.0083
16350,0.0109
16400,0.0107
16450,0.0103
16500,0.0126
16550,0.0110
16600,0.0108
16650,0.0085
16700,0.0103
16750,0.0106
16800,0.0077
16850,0.0104
16900,0.0079
16950,0.0087
17000,0.0092
17050,0.0091
17100,0.0107
17150,0.0124
17200,0.0097
17250,0.0104
17300,0.0100
17350,0.0097
17400,0.0075
17450,0.0127
17500,0.0102
17550,0.0125
17600,0.0088
17650,0.0088
17700,0.0131
17750,0.0094
17800,0.0083
17850,0.0108
17900,0.0108
17950,0.0106
18000,0.0100
18050,0.0098
18100,0.0134
18150,0.0105
18200,0.0092
18250,0.0094
18300,0.0076
18350,0.0084
18400,0.0091
18450,0.0105
18500,0.0105
18550,0.0103
18600,0.0117
18650,0.0093
18700,0.0104
18750,0.0113
18800,0.0100
18850,0.0091
18900,0.0116
18950,0.0125
19000,0.0107
19050,0.0086
19100,0.0093
19150,0.0135
19200,0.0088
19250,0.0113
19300,0.0133
19350,0.0160
19400,0.0147
19450,0.0107
19500,0.0112
19550,0.0111
19600,0.0106
19650,0.0102
19700,0.0112
19750,0.0083
19800,0.0131
19850,0.0077
19900,0.0106
19950,0.0105
20050,0.0090
20100,0.0116
20150,0.0086
20200,0.0098
20250,0.0101
20300,0.0083
20350,0.0090
20400,0.0087
20450,0.0091
20500,0.0074
20550,0.0077
20600,0.0098
20650,0.0085
20700,0.0097
20750,0.0082
20800,0.0088
20850,0.0099
20900,0.0108
20950,0.0103
21000,0.0117
21050,0.0114
21100,0.0138
21150,0.0106
21200,0.0092
21250,0.0103
21300,0.0087
21350,0.0117
21400,0.0115
21450,0.0135
21500,0.0103
21550,0.0124
21600,0.0134
21650,0.0102
21700,0.0118
21750,0.0127
21800,0.0133
21850,0.0153
21900,0.0096
21950,0.0109
22000,0.0129
22050,0.0106
22100,0.0120
22150,0.0102
22200,0.0109
22250,0.0091
22300,0.0103
22350,0.0111
22400,0.0126
22450,0.0117
22500,0.0121
22550,0.0136
22600,0.0127
22650,0.0135
22700,0.0131
22750,0.0134
22800,0.0130
22850,0.0118
22900,0.0124
22950,0.0109
23000,0.0112
23050,0.0107
23100,0.0130
23150,0.0114
23200,0.0120
23250,0.0095
23300,0.0110
23350,0.0103
23400,0.0097
23450,0.0105
23500,0.0104
23550,0.0131
23600,0.0137
23650,0.0133
23700,0.0126
23750,0.0131
23800,0.0140
23850,0.0152
23900,0.0121
23950,0.0156
24050,0.0142
24100,0.0133
24150,0.0147
24200,0.0165
24250,0.0149
24300,0.0103
24350,0.0105
24400,0.0150
24450,0.0119
24500,0.0115
24550,0.0135
24600,0.0127
24650,0.0135
24700,0.0142
24750,0.0156
24800,0.0117
24850,0.0124
24900,0.0097
24950,0.0138
25000,0.0125
25050,0.0130
25100,0.0138
25150,0.0106
25200,0.0112
25250,0.0127
25300,0.0157
25350,0.0131
25400,0.0127
25450,0.0129
25500,0.0090
25550,0.0127
25600,0.0149
25650,0.0137
25700,0.0132
25750,0.0118
25800,0.0097
25850,0.0108
25900,0.0108
25950,0.0119
26000,0.0128
26050,0.0143
26100,0.0115
26150,0.0181
26200,0.0178
26250,0.0135
26300,0.0132
26350,0.0152
26400,0.0130
26450,0.0134
26500,0.0141
26550,0.0148
26600,0.0119
26650,0.0139
26700,0.0199
26750,0.0149
26800,0.0127
26850,0.0146
26900,0.0183
26950,0.0164
27000,0.0177
27050,0.0151
27100,0.0148
27150,0.0130
27200,0.0120
27250,0.0131
27300,0.0167
27350,0.0153
27400,0.0176
27450,0.0157
27500,0.0154
27550,0.0156
27600,0.0115
27650,0.0172
27700,0.0163
27750,0.0131
27800,0.0169
27850,0.0177
27900,0.0146
27950,0.0170
28050,0.0147
28100,0.0120
28150,0.0179
28200,0.0186
28250,0.0149
28300,0.0165
28350,0.0152
28400,0.0177
28450,0.0181
28500,0.0147
28550,0.0188
28600,0.0189
28650,0.0155
28700,0.0152
28750,0.0149
28800,0.0177
28850,0.0135
28900,0.0140
28950,0.0173
29000,0.0149
29050,0.0136
29100,0.0117
29150,0.0124
29200,0.0152
29250,0.0141
29300,0.0218
29350,0.0171
29400,0.0143
29450,0.0188
29500,0.0155
29550,0.0181
29600,0.0160
29650,0.0172
29700,0.0254
29750,0.0231
29800,0.0258
29850,0.0196
29900,0.0173
29950,0.0135
30000,0.0160
30050,0.0178
30100,0.0156
30150,0.0181
30200,0.0141
30250,0.0171
30300,0.0163
30350,0.0152
30400,0.0129
30450,0.0133
30500,0.0165
30550,0.0150
30600,0.0147
30650,0.0136
30700,0.0171
30750,0.0175
30800,0.0146
30850,0.0134
30900,0.0134
30950,0.0157
31000,0.0124
31050,0.0136
31100,0.0115
31150,0.0102
31200,0.0108
31250,0.0130
31300,0.0174
31350,0.0156
31400,0.0150
31450,0.0172
31500,0.0154
31550,0.0181
31600,0.0188
31650,0.0156
31700,0.0142
31750,0.0165
31800,0.0166
31850,0.0197
31900,0.0172
31950,0.0172
32050,0.0192
32100,0.0189
32150,0.0179
32200,0.0166
32250,0.0177
32300,0.0183
32350,0.0215
32400,0.0179
32450,0.0185
32500,0.0170
32550,0.0190
32600,0.0188
32650,0.0156
32700,0.0177
32750,0.0178
32800,0.0153
32850,0.0221
32900,0.0172
32950,0.0171
33000,0.0192
33050,0.0184
33100,0.0187
33150,0.0181
33200,0.0188
33250,0.0148
33300,0.0206
33350,0.0234
33400,0.0195
33450,0.0174
33500,0.0188
33550,0.0188
33600,0.0271
33650,0.0242
33700,0.0226
33750,0.0210
33800,0.0184
33850,0.0213
33900,0.0198
33950,0.0194
34000,0.0177
34050,0.0196
34100,0.0165
34150,0.0165
34200,0.0189
34250,0.0177
34300,0.0204
34350,0.0209
34400,0.0200
34450,0.0226
34500,0.0193
34550,0.0196
34600,0.0226
34650,0.0232
34700,0.0149
34750,0.0199
34800,0.0214
34850,0.0240
34900,0.0177
34950,0.0234
35000,0.0205
35050,0.0253
35100,0.0167
35150,0.0182
35200,0.0231
35250,0.0192
35300,0.0227
35350,0.0171
35400,0.0197
35450,0.0263
35500,0.0210
35550,0.0181
35600,0.0271
35650,0.0175
35700,0.0221
35750,0.0221
35800,0.0220
35850,0.0194
35900,0.0175
35950,0.0184
36050,0.0262
36100,0.0186
36150,0.0179
36200,0.0166
36250,0.0171
36300,0.0183
36350,0.0215
36400,0.0217
36450,0.0220
36500,0.0228
36550,0.0248
36600,0.0266
36650,0.0211
36700,0.0208
36750,0.0242
36800,0.0204
36850,0.0215
36900,0.0221
36950,0.0199
37000,0.0243
37050,0.0259
37100,0.0204
37150,0.0196
37200,0.0186
37250,0.0202
37300,0.0254
37350,0.0231
37400,0.0258
37450,0.0232
37500,0.0199
37550,0.0202
37600,0.0281
37650,0.0245
37700,0.0199
37750,0.0254
37800,0.0205
37850,0.0210
37900,0.0293
37950,0.0277
38000,0.0189
38050,0.0223
38100,0.0224
38150,0.0188
38200,0.0262
38250,0.0248
38300,0.0265
38350,0.0197
38400,0.0215
38450,0.0226
38500,0.0228
38550,0.0243
38600,0.0252
38650,0.0227
38700,0.0180
38750,0.0240
38800,0.0226
38850,0.0213
38900,0.0198
38950,0.0295
39000,0.0187
39050,0.0202
39100,0.0209
39150,0.0192
39200,0.0229
39250,0.0221
39300,0.0228
39350,0.0217
39400,0.0211
39450,0.0242
39500,0.0257
39550,0.0273
39600,0.0257
39650,0.0273
39700,0.0302
39750,0.0236
39800,0.0266
39850,0.0219
39900,0.0255
39950,0.0217